name,state,latitude,longitude,budget,nature_score,adventure_score,culture_score,crowd_score,accessibility_score,best_season,tourism_saturation,geography,architecture,environment,temperature
Victoria Memorial,West Bengal,22.5448,88.3426,50,2,2,5,7,9,Winter,High,"urban, flat terrain, landscaped gardens, green space","colonial, Indo-Saracenic, Italian Renaissance, white marble, monumental","historic, green, cultural, urban, tourist-oriented, well-maintained","hot, warm"
Princep Ghat,West Bengal,22.5595,88.3108,0,8,3,3,5,8,Winter,Medium,"riverbank, Hooghly River, flat terrain, riverside","colonial, Greek, Gothic, historic pavilion","riverside, green, peaceful, urban, recreational, tourist-oriented","hot, warm"
Bakkhali Beach,West Bengal,21.5627,88.2594,500,9,5,2,4,6,Winter,Low,"coastal, beach, Bay of Bengal, deltaic island, sandy coast, mangrove","coastal town, simple local buildings, tourist accommodation","peaceful, quiet, natural, coastal, low-density, less crowded",comfortable
Digha,West Bengal,21.6266,87.5074,2000,8,5,3,9,9,Winter,High,"coastal, beach, Bay of Bengal, flat sandy terrain, casuarina forest","modern coastal town, colonial influences, tourist infrastructure","crowded, lively, commercial, coastal, tourist-oriented, well-developed","comfortable, warm"
Darjeeling,West Bengal,27.041,88.2663,2500,9,7,8,8,6,Spring & Autumn,High,"Himalayan hills, steep slopes, valleys, tea gardens, mountain terrain","colonial, Victorian, Tibetan, Himalayan, traditional hill architecture","mountainous, scenic, cool, urban, tourist-oriented, densely settled","cool, cold"
Mandarmani,West Bengal,21.6648,87.7053,3000,8,6,2,6,7,Winter,Medium,"coastal, Bay of Bengal, long sandy beach, flat terrain, coastal vegetation","modern coastal resorts, simple local buildings, tourist accommodation","developed, recreational, coastal, resort-oriented, moderately crowded","comfortable, warm"
Bishnupur,West Bengal,23.0675,87.3111,1500,6,2,9,5,7,Winter,Medium,"flat alluvial plain, low terrain, rural surroundings","terracotta temples, Bengal temple architecture, historic structures, traditional craftsmanship","historic, cultural, rural, peaceful, heritage-oriented, moderately visited","comfortable, warm"
Tajpur,West Bengal,21.6529,87.6293,2000,9,5,2,2,6,Winter,Low,"coastal, Bay of Bengal, sandy beach, coastal forest, flat terrain","coastal town, simple local buildings, eco-resorts","peaceful, natural, coastal, less commercialized, low-density, less crowded","comfortable, warm"
Jhargram,West Bengal,22.4539,86.9949,1500,9,5,6,2,6,Winter,Low,"lateritic terrain, dense forests, gently undulating land, wooded hills","royal palace, traditional Bengali structures, rural architecture","forested, peaceful, rural, natural, low-density, less crowded","warm, mild"
Mandasaru Silent Valley,Odisha,20.15,84.28,2500,10,9,7,10,5,Winter,Very Low,"Eastern Ghats, deep gorge, forested slopes, valleys and mountain streams",Traditional tribal settlements and simple rural structures,"Extremely peaceful, dense, green, pristine and low-pollution",Cool
Gundichaghagi Waterfall,Odisha,21.01,85.47,1800,10,8,5,9,6,Monsoon,Very Low,"Forested hills, rocky terrain, rugged valley and cascading river",Minimal rural architecture with nearby village structures,"Quiet forest environment, fresh air and lush vegetation",Warm
